Feature,Importance,Std
Avg_NumTissuePixel_30_60,0.08557370151318597,0.01624604933709814
Log_NumPixels,0.08046836504074792,0.01424689096855807
Lung_Involvement_Ratio,0.07191647589839809,0.029918741780869985
Avg_TissueByTotal_30_60,0.04996787701535924,0.01098945496840796
Mean_30_60,0.04989537686532216,0.004866768114616298
ApproxVol_30_60,0.045229538045597886,0.009833151641542632
Avg_Tissue_thickness_30_60,0.044024176615895805,0.008560108045412311
Skew_30_60,0.043793272790199136,0.015541389498410857
Kurtosis_30_60,0.04312227244269986,0.008949064935791614
Log_Volume,0.042694628010001325,0.00847563781683801
Tissue_Squared,0.042414323428293446,0.0073157296228904
Smoking_Tissue,0.04121958157600199,0.014816395270969866
Tissue_Density,0.040846152776048715,0.01392483833856269
Tissue_Concentration,0.040314520331666506,0.01715314797586369
Avg_TissueByLung_30_60,0.03999491319355153,0.010884580460859774
Age_Tissue_Interaction,0.03901349277790016,0.004532296061189498
Avg_Tissue_30_60,0.03869242252815514,0.007058370133217767
Age_TissueByLung,0.03578027344429624,0.007846544777447693
Distribution_Complexity,0.03545506409105169,0.0030162724458773506
Age_Squared,0.03349216297345536,0.0064035566233948595
Age,0.030207972237780257,0.005194850405596063
Age_Group,0.009692825247275879,0.0016776722937624081
Tissue_Severity,0.005883327453352775,0.003369834521015948
SmokingStatus,0.005841662765017451,0.0015661783660475517
Sex,0.004465620938745527,0.0029856933261249385
