Metric,Mean,Std
Validation AUC,0.6215656565656567,0.13814064747882424
Optimal Threshold,0.5239686131477356,0.09194825125534516
,,
Test AUC (Default),0.5005555555555555,0.10217265337078632
Test Accuracy (Default),0.5375,0.11948020351146825
Test Precision (Default),0.28751131221719456,0.17273256488978414
Test Recall (Default),0.5,0.4216370213557839
Test F1 (Default),0.33182257356170397,0.21136719005067567
Test Specificity (Default),0.5515151515151515,0.36534949995397664
,,
Test AUC (Optimal),0.5005555555555555,0.10217265337078632
Test Accuracy (Optimal),0.5721405228758171,0.06178631568571459
Test Precision (Optimal),0.3488095238095238,0.08663526380314406
Test Recall (Optimal),0.29333333333333333,0.16519348924485155
Test F1 (Optimal),0.29384615384615387,0.09051463643126467
Test Specificity (Optimal),0.7136363636363636,0.14630433581300983
