Metric,Mean,Std
Validation AUC,0.48116161616161623,0.1737125305235398
Optimal Threshold,inf,
,,
Test AUC (Default),0.4541414141414141,0.19750132865096384
Test Accuracy (Default),0.44493464052287585,0.18489888800853133
Test Precision (Default),0.3659090909090909,0.3212835826740416
Test Recall (Default),0.3333333333333333,0.16193277068654827
Test F1 (Default),0.2935714285714286,0.12853967861945134
Test Specificity (Default),0.5136363636363637,0.31082401813234106
,,
Test AUC (Optimal),0.4541414141414141,0.19750132865096384
Test Accuracy (Optimal),0.5934640522875817,0.1414261231392808
Test Precision (Optimal),0.35500000000000004,0.2647640458974746
Test Recall (Optimal),0.5066666666666666,0.35925849560819945
Test F1 (Optimal),0.39454545454545453,0.26004449714590727
Test Specificity (Optimal),0.6254545454545455,0.32163836784410765
