metric,value
val_auc,0.43939393939393945
optimal_threshold,0.45327863097190857
test_threshold_default,0.5
test_auc_default,0.4722222222222222
test_accuracy_default,0.5555555555555556
test_precision_default,0.25
test_recall_default,0.16666666666666666
test_f1_default,0.2
test_specificity_default,0.75
test_threshold_optimal,0.45327863097190857
test_auc_optimal,0.4722222222222222
test_accuracy_optimal,0.5555555555555556
test_precision_optimal,0.4
test_recall_optimal,0.6666666666666666
test_f1_optimal,0.5
test_specificity_optimal,0.5
