Metric,Mean,Std
Validation AUC,0.5304040404040403,0.17559042324405688
Optimal Threshold,0.529215270280838,0.16108799721345746
,,
Test AUC (Default),0.3897979797979798,0.06960497515310733
Test Accuracy (Default),0.44068627450980385,0.12054887369708085
Test Precision (Default),0.1736111111111111,0.14659194224398622
Test Recall (Default),0.38,0.3709447398198282
Test F1 (Default),0.23238095238095235,0.1991911079984971
Test Specificity (Default),0.48,0.3302090497380798
,,
Test AUC (Optimal),0.3897979797979798,0.06960497515310733
Test Accuracy (Optimal),0.5031862745098039,0.1049225744818972
Test Precision (Optimal),0.2866666666666667,0.1733333333333333
Test Recall (Optimal),0.33999999999999997,0.3466666666666667
Test F1 (Optimal),0.26272727272727275,0.16709476699473505
Test Specificity (Optimal),0.596060606060606,0.2727703669656625
