metric,value
val_auc,0.32727272727272727
optimal_threshold,0.6944224834442139
test_threshold_default,0.5
test_auc_default,0.4181818181818182
test_accuracy_default,0.3125
test_precision_default,0.3125
test_recall_default,1.0
test_f1_default,0.47619047619047616
test_specificity_default,0.0
test_threshold_optimal,0.6944224834442139
test_auc_optimal,0.4181818181818182
test_accuracy_optimal,0.375
test_precision_optimal,0.3333333333333333
test_recall_optimal,1.0
test_f1_optimal,0.5
test_specificity_optimal,0.09090909090909091
