Metric,Mean,Std
Validation AUC,0.5295454545454545,0.1789919226006866
Optimal Threshold,inf,
,,
Test AUC (Default),0.4518181818181818,0.15287991410222765
Test Accuracy (Default),0.517892156862745,0.20085571216374282
Test Precision (Default),0.02222222222222222,0.04444444444444444
Test Recall (Default),0.03333333333333333,0.06666666666666667
Test F1 (Default),0.026666666666666665,0.05333333333333333
Test Specificity (Default),0.7545454545454545,0.30909090909090914
,,
Test AUC (Optimal),0.4518181818181818,0.15287991410222765
Test Accuracy (Optimal),0.49289215686274507,0.1853715861504712
Test Precision (Optimal),0.20222222222222222,0.20874699672564231
Test Recall (Optimal),0.23333333333333334,0.29514591494904874
Test F1 (Optimal),0.19047619047619047,0.2012207641332458
Test Specificity (Optimal),0.6272727272727272,0.27931439083158577
