metric,value
val_auc,0.5416666666666666
optimal_threshold,0.4197990596294403
test_threshold_default,0.5
test_auc_default,0.5818181818181818
test_accuracy_default,0.6875
test_precision_default,0.0
test_recall_default,0.0
test_f1_default,0.0
test_specificity_default,1.0
test_threshold_optimal,0.4197990596294403
test_auc_optimal,0.5818181818181818
test_accuracy_optimal,0.6875
test_precision_optimal,0.5
test_recall_optimal,0.2
test_f1_optimal,0.2857142857142857
test_specificity_optimal,0.9090909090909091
