Metric,Mean,Std
Validation AUC,0.5456565656565656,0.1071210097198284
Optimal Threshold,0.4390724003314972,0.15840442358152085
,,
Test AUC (Default),0.46297979797979794,0.14779745376029566
Test Accuracy (Default),0.5100490196078431,0.13750939291953687
Test Precision (Default),0.2738095238095238,0.16148404721726828
Test Recall (Default),0.4,0.3741657386773941
Test F1 (Default),0.27,0.17204650534085256
Test Specificity (Default),0.5769696969696969,0.3769609275020121
,,
Test AUC (Optimal),0.46297979797979794,0.14779745376029566
Test Accuracy (Optimal),0.42410130718954253,0.14152661545678244
Test Precision (Optimal),0.3204184704184704,0.10047280310635429
Test Recall (Optimal),0.5866666666666667,0.22370615647416692
Test F1 (Optimal),0.4049423022797636,0.1108398184758711
Test Specificity (Optimal),0.34151515151515155,0.21236263317875687
