metric,value
val_auc,0.5454545454545454
optimal_threshold,0.38692671060562134
test_threshold_default,0.5
test_auc_default,0.36666666666666664
test_accuracy_default,0.625
test_precision_default,0.5
test_recall_default,0.16666666666666666
test_f1_default,0.25
test_specificity_default,0.9
test_threshold_optimal,0.38692671060562134
test_auc_optimal,0.36666666666666664
test_accuracy_optimal,0.3125
test_precision_optimal,0.2727272727272727
test_recall_optimal,0.5
test_f1_optimal,0.35294117647058826
test_specificity_optimal,0.2
