Metric,Mean,Std
Validation AUC,0.4284848484848485,0.058244915281134374
Optimal Threshold,0.5105703890323638,0.07055326257846431
,,
Test AUC (Default),0.4477777777777778,0.14290541257478342
Test Accuracy (Default),0.48651960784313725,0.17200923814858982
Test Precision (Default),0.4603479853479854,0.271456067279996
Test Recall (Default),0.5466666666666666,0.3081125335544358
Test F1 (Default),0.3899681020733652,0.09802192372543977
Test Specificity (Default),0.4351515151515152,0.3920917041962771
,,
Test AUC (Optimal),0.4477777777777778,0.14290541257478342
Test Accuracy (Optimal),0.42320261437908496,0.15074248968779358
Test Precision (Optimal),0.30896464646464644,0.08537034381147555
Test Recall (Optimal),0.54,0.278408173570948
Test F1 (Optimal),0.36955182072829135,0.1189872841010601
Test Specificity (Optimal),0.3627272727272727,0.28691001267279054
