metric,value
val_auc,0.49090909090909096
optimal_threshold,0.49947696924209595
test_threshold_default,0.5
test_auc_default,0.49090909090909096
test_accuracy_default,0.625
test_precision_default,0.3333333333333333
test_recall_default,0.2
test_f1_default,0.25
test_specificity_default,0.8181818181818182
test_threshold_optimal,0.49947696924209595
test_auc_optimal,0.49090909090909096
test_accuracy_optimal,0.625
test_precision_optimal,0.3333333333333333
test_recall_optimal,0.2
test_f1_optimal,0.25
test_specificity_optimal,0.8181818181818182
