metric,value
val_auc,0.6944444444444444
optimal_threshold,0.6749230623245239
test_threshold_default,0.5
test_auc_default,0.38181818181818183
test_accuracy_default,0.375
test_precision_default,0.2222222222222222
test_recall_default,0.4
test_f1_default,0.2857142857142857
test_specificity_default,0.36363636363636365
test_threshold_optimal,0.6749230623245239
test_auc_optimal,0.38181818181818183
test_accuracy_optimal,0.5
test_precision_optimal,0.2
test_recall_optimal,0.2
test_f1_optimal,0.2
test_specificity_optimal,0.6363636363636364
