Metric,Mean,Std
Validation AUC,0.8020833333333334,0.02946278254943948
Optimal Threshold,0.5180451373259226,0.039559853004345294
,,
Test AUC (Default),0.4852826510721248,0.07023240594388287
Test Accuracy (Default),0.46428571428571425,0.029160592175990225
Test Precision (Default),0.3372405372405372,0.07568710711046259
Test Recall (Default),0.7407407407407408,0.2916299212596967
Test F1 (Default),0.4591630591630591,0.13274421177420093
Test Specificity (Default),0.31871345029239767,0.1253564392410878
,,
Test AUC (Optimal),0.4852826510721248,0.07023240594388287
Test Accuracy (Optimal),0.48809523809523814,0.1214052265141139
Test Precision (Optimal),0.26851851851851855,0.047213143644377634
Test Recall (Optimal),0.2851851851851852,0.13648537609398723
Test F1 (Optimal),0.25531064127555353,0.07218622974941172
Test Specificity (Optimal),0.5906432748538012,0.24239043012938835
