metric,value
val_auc,0.78125
optimal_threshold,0.5470811128616333
test_threshold_default,0.5
test_auc_default,0.5611111111111111
test_accuracy_default,0.4642857142857143
test_precision_default,0.4
test_recall_default,1.0
test_f1_default,0.5714285714285714
test_specificity_default,0.16666666666666666
test_threshold_optimal,0.5470811128616333
test_auc_optimal,0.5611111111111111
test_accuracy_optimal,0.5357142857142857
test_precision_optimal,0.3333333333333333
test_recall_optimal,0.3
test_f1_optimal,0.3157894736842105
test_specificity_optimal,0.6666666666666666
