Metric,Mean,Std
Validation AUC,0.5729166666666666,0.12058163440406484
Optimal Threshold,0.47331204017003375,0.021835031149158447
,,
Test AUC (Default),0.45750487329434697,0.052144887136069865
Test Accuracy (Default),0.48809523809523814,0.1378075821760741
Test Precision (Default),0.1918859649122807,0.1371710088069825
Test Recall (Default),0.35185185185185186,0.24982847339318598
Test F1 (Default),0.24725274725274726,0.17519346583982592
Test Specificity (Default),0.550682261208577,0.32183525134981056
,,
Test AUC (Optimal),0.45750487329434697,0.052144887136069865
Test Accuracy (Optimal),0.46428571428571425,0.07715167498104594
Test Precision (Optimal),0.2619047619047619,0.07009334020895115
Test Recall (Optimal),0.3925925925925926,0.22686507897946007
Test F1 (Optimal),0.298989898989899,0.11807385209052491
Test Specificity (Optimal),0.5009746588693957,0.21830618142817335
