metric,value
val_auc,0.6875
optimal_threshold,0.4579579532146454
test_threshold_default,0.5
test_auc_default,0.38596491228070173
test_accuracy_default,0.35714285714285715
test_precision_default,0.2631578947368421
test_recall_default,0.5555555555555556
test_f1_default,0.35714285714285715
test_specificity_default,0.2631578947368421
test_threshold_optimal,0.4579579532146454
test_auc_optimal,0.38596491228070173
test_accuracy_optimal,0.35714285714285715
test_precision_optimal,0.2857142857142857
test_recall_optimal,0.6666666666666666
test_f1_optimal,0.4
test_specificity_optimal,0.21052631578947367
