Metric,Mean,Std
Validation AUC,0.6722843822843823,0.1063888054523169
Optimal Threshold,0.501926451921463,0.023771468744092694
,,
Test AUC (Default),0.3651010101010101,0.20628740736977358
Test Accuracy (Default),0.4661764705882353,0.1575383734216715
Test Precision (Default),0.1952731092436975,0.17090061744684132
Test Recall (Default),0.475,0.45
Test F1 (Default),0.25142857142857145,0.2077500678771197
Test Specificity (Default),0.5095959595959596,0.41075357346277286
,,
Test AUC (Optimal),0.3651010101010101,0.20628740736977358
Test Accuracy (Optimal),0.4154411764705882,0.10129994176055603
Test Precision (Optimal),0.2791666666666667,0.1622326861160982
Test Recall (Optimal),0.48166666666666674,0.28108915153579145
Test F1 (Optimal),0.33292589763178,0.16989862654080212
Test Specificity (Optimal),0.37738927738927736,0.24711527295757174
