Metric,Mean,Std
Validation AUC,0.5471756021756022,0.16308204210189858
Optimal Threshold,0.5351569890975952,0.07613224596635686
,,
Test AUC (Default),0.5303379953379953,0.1011619535755581
Test Accuracy (Default),0.474264705882353,0.13970588235294118
Test Precision (Default),0.37858391608391606,0.10008203027027966
Test Recall (Default),0.5983333333333333,0.281977146434088
Test F1 (Default),0.4023057644110276,0.06340216121133847
Test Specificity (Default),0.42995337995337995,0.3290621591365541
,,
Test AUC (Optimal),0.5303379953379953,0.1011619535755581
Test Accuracy (Optimal),0.5492647058823529,0.11662237584062847
Test Precision (Optimal),0.40725274725274724,0.08840138559572772
Test Recall (Optimal),0.5183333333333333,0.20210008521632156
Test F1 (Optimal),0.412781954887218,0.0697426684228886
Test Specificity (Optimal),0.5771561771561772,0.24325480815470885
