metric,value
val_auc,0.5151515151515151
optimal_threshold,0.6868364810943604
test_threshold_default,0.5
test_auc_default,0.4727272727272728
test_accuracy_default,0.3125
test_precision_default,0.3125
test_recall_default,1.0
test_f1_default,0.47619047619047616
test_specificity_default,0.0
test_threshold_optimal,0.6868364810943604
test_auc_optimal,0.4727272727272728
test_accuracy_optimal,0.6875
test_precision_optimal,0.5
test_recall_optimal,0.2
test_f1_optimal,0.2857142857142857
test_specificity_optimal,0.9090909090909091
