Metric,Mean,Std
Validation AUC,0.7066783216783217,0.09163852953601007
Optimal Threshold,0.4738806366920471,0.039172160356117605
,,
Test AUC (Default),0.4651942501942502,0.1582260363147592
Test Accuracy (Default),0.6316176470588235,0.11200631779017421
Test Precision (Default),0.13999999999999999,0.19595917942265426
Test Recall (Default),0.13333333333333333,0.19436506316151003
Test F1 (Default),0.13636363636363638,0.19497827808661106
Test Specificity (Default),0.8383838383838385,0.19958123693298535
,,
Test AUC (Optimal),0.4651942501942502,0.1582260363147592
Test Accuracy (Optimal),0.499264705882353,0.10564720620977536
Test Precision (Optimal),0.31524475524475526,0.19691562684572247
Test Recall (Optimal),0.4533333333333333,0.31151957313216205
Test F1 (Optimal),0.3269040247678019,0.20573197795214412
Test Specificity (Optimal),0.5274669774669773,0.23008446721384987
