Metric,Mean,Std
Validation AUC,0.6303729603729604,0.1028852938552318
Optimal Threshold,0.5282419502735138,0.025220658098667106
,,
Test AUC (Default),0.4798912198912199,0.20798423447425704
Test Accuracy (Default),0.43161764705882355,0.15872137237449438
Test Precision (Default),0.27272727272727276,0.15725926225208814
Test Recall (Default),0.7333333333333333,0.38873012632302
Test F1 (Default),0.3892172141583906,0.2122919569895954
Test Specificity (Default),0.27272727272727276,0.3899565561732221
,,
Test AUC (Optimal),0.4798912198912199,0.20798423447425704
Test Accuracy (Optimal),0.5102941176470588,0.10310910672328298
Test Precision (Optimal),0.3337301587301587,0.13206835690062874
Test Recall (Optimal),0.42000000000000004,0.19646882704388502
Test F1 (Optimal),0.3494505494505495,0.1207980636210273
Test Specificity (Optimal),0.5801476301476302,0.13111940487391435
