Metric,Mean,Std
Validation AUC,0.5786635586635586,0.1443400244421279
Optimal Threshold,0.504232394695282,0.027192278500068445
,,
Test AUC (Default),0.37070318570318567,0.07758874735907463
Test Accuracy (Default),0.4389705882352941,0.1700358704269011
Test Precision (Default),0.24632352941176472,0.12954538556203082
Test Recall (Default),0.5416666666666666,0.3961621441334904
Test F1 (Default),0.3182900432900433,0.1726753222876869
Test Specificity (Default),0.3797979797979798,0.3695699953059856
,,
Test AUC (Optimal),0.37070318570318567,0.07758874735907463
Test Accuracy (Optimal),0.4279411764705882,0.11164854644766063
Test Precision (Optimal),0.28361416361416364,0.16016725981242913
Test Recall (Optimal),0.5633333333333332,0.3162980310473722
Test F1 (Optimal),0.3716234319814883,0.207925701236269
Test Specificity (Optimal),0.3390831390831391,0.1020632445827653
