Metric,Mean,Std
Validation AUC,0.7281973581973582,0.10803253331833629
Optimal Threshold,0.5220628499984741,0.00955172148950089
,,
Test AUC (Default),0.4271756021756022,0.07501855586800056
Test Accuracy (Default),0.3941176470588236,0.10120382667108972
Test Precision (Default),0.3194117647058824,0.10339563549515216
Test Recall (Default),0.7150000000000001,0.35341194094144585
Test F1 (Default),0.40097120271033315,0.10826562967782223
Test Specificity (Default),0.27599067599067595,0.30804740405488146
,,
Test AUC (Optimal),0.4271756021756022,0.07501855586800056
Test Accuracy (Optimal),0.46544117647058825,0.0998376710146687
Test Precision (Optimal),0.16190476190476188,0.18282241733764254
Test Recall (Optimal),0.16499999999999998,0.1841195263952197
Test F1 (Optimal),0.12333333333333334,0.10413666234542206
Test Specificity (Optimal),0.6512043512043513,0.24975401287232904
