Metric,Mean,Std
Validation AUC,0.6104040404040404,0.13118393022248376
Optimal Threshold,0.5094861686229706,0.04546919107591552
,,
Test AUC (Default),0.4031818181818182,0.12651324622045645
Test Accuracy (Default),0.4237745098039216,0.12563372612917112
Test Precision (Default),0.35514069264069265,0.0775551274410351
Test Recall (Default),0.6866666666666668,0.28952067667477954
Test F1 (Default),0.4154761904761905,0.09331389496316869
Test Specificity (Default),0.29242424242424236,0.3250909316882463
,,
Test AUC (Optimal),0.4031818181818182,0.12651324622045645
Test Accuracy (Optimal),0.43807189542483665,0.13180755865051078
Test Precision (Optimal),0.1853391053391053,0.13811668090959042
Test Recall (Optimal),0.24666666666666665,0.1654623152798781
Test F1 (Optimal),0.20522026992615228,0.137410351944379
Test Specificity (Optimal),0.5393939393939393,0.24196927003245006
