Metric,Mean,Std
Validation AUC,0.744090909090909,0.1450660848108571
Optimal Threshold,0.5098533630371094,0.019148169431681947
,,
Test AUC (Default),0.5377777777777778,0.1876294641977077
Test Accuracy (Default),0.4666666666666667,0.12106801177679558
Test Precision (Default),0.20392156862745098,0.16665513224216297
Test Recall (Default),0.48,0.44899888641287294
Test F1 (Default),0.2770750988142293,0.23263278929288808
Test Specificity (Default),0.4545454545454545,0.3941724252487054
,,
Test AUC (Optimal),0.5377777777777778,0.1876294641977077
Test Accuracy (Optimal),0.5852941176470589,0.14726823325466887
Test Precision (Optimal),0.4727272727272728,0.3270706446802743
Test Recall (Optimal),0.5133333333333333,0.3276854860651868
Test F1 (Optimal),0.4317799847211612,0.21902757671810258
Test Specificity (Optimal),0.6106060606060606,0.2887387474502776
