Metric,Mean,Std
Validation AUC,0.6005050505050505,0.1272623051689165
Optimal Threshold,0.4905081748962402,0.02890135945456411
,,
Test AUC (Default),0.5705050505050504,0.0681571972006773
Test Accuracy (Default),0.5171568627450981,0.17134263827905183
Test Precision (Default),0.39821428571428574,0.3319507893206646
Test Recall (Default),0.4533333333333333,0.349348600175304
Test F1 (Default),0.3152768799827624,0.17261384240271355
Test Specificity (Default),0.5636363636363636,0.41221032904562305
,,
Test AUC (Optimal),0.5705050505050504,0.0681571972006773
Test Accuracy (Optimal),0.5922385620915033,0.12099184982625694
Test Precision (Optimal),0.4624819624819625,0.12694968705211512
Test Recall (Optimal),0.54,0.11623730516108462
Test F1 (Optimal),0.4719541569541569,0.06234595407361243
Test Specificity (Optimal),0.6196969696969697,0.2125752716035828
