Metric,Mean,Std
Validation AUC,0.7491414141414141,0.10173522554515119
Optimal Threshold,0.4938579499721527,0.016015043483379617
,,
Test AUC (Default),0.43813131313131315,0.10430558535970591
Test Accuracy (Default),0.5098039215686274,0.19457913306275296
Test Precision (Default),0.19886363636363638,0.19130100465017244
Test Recall (Default),0.3,0.3711842908553348
Test F1 (Default),0.19229691876750699,0.17873453307989168
Test Specificity (Default),0.6181818181818182,0.4356054018440342
,,
Test AUC (Optimal),0.43813131313131315,0.10430558535970591
Test Accuracy (Optimal),0.545016339869281,0.09405947503274877
Test Precision (Optimal),0.3468253968253968,0.10509806576029745
Test Recall (Optimal),0.39333333333333326,0.1218377792166471
Test F1 (Optimal),0.36217782217782213,0.11046984666581301
Test Specificity (Optimal),0.6242424242424243,0.13497610576557628
