Metric,Mean,Std
Validation AUC,0.8075757575757574,0.11344023478769283
Optimal Threshold,0.5014609038829804,0.034098951756171766
,,
Test AUC (Default),0.517070707070707,0.11739981281664258
Test Accuracy (Default),0.4416666666666667,0.1180182054130618
Test Precision (Default),0.26060606060606056,0.133608531424537
Test Recall (Default),0.6599999999999999,0.37735924528226417
Test F1 (Default),0.37058823529411766,0.19385008297981274
Test Specificity (Default),0.3454545454545454,0.351619629196613
,,
Test AUC (Optimal),0.517070707070707,0.11739981281664258
Test Accuracy (Optimal),0.5348039215686274,0.10939612650909607
Test Precision (Optimal),0.3822727272727272,0.07290319631578476
Test Recall (Optimal),0.5399999999999999,0.1356465996625054
Test F1 (Optimal),0.4363025210084034,0.05734369057665668
Test Specificity (Optimal),0.5318181818181819,0.19047569854324511
