Metric,Mean,Std
Validation AUC,0.6553030303030303,0.09084088350353317
Optimal Threshold,0.49333406090736387,0.017807534894755134
,,
Test AUC (Default),0.5006060606060606,0.04868896428701801
Test Accuracy (Default),0.5362745098039217,0.1339200075986304
Test Precision (Default),0.18058823529411766,0.1510012717928064
Test Recall (Default),0.33999999999999997,0.3773592452822641
Test F1 (Default),0.22379227053140097,0.20581765450428544
Test Specificity (Default),0.6181818181818182,0.38740501368477304
,,
Test AUC (Optimal),0.5006060606060606,0.04868896428701801
Test Accuracy (Optimal),0.5616830065359477,0.07222887616111225
Test Precision (Optimal),0.40714285714285714,0.052245495851170685
Test Recall (Optimal),0.5733333333333334,0.16248076809271922
Test F1 (Optimal),0.45802197802197797,0.0394222249783506
Test Specificity (Optimal),0.5590909090909091,0.18385225832869714
