Metric,Mean,Std
Validation AUC,0.7465151515151515,0.058782411492098945
Optimal Threshold,0.5345075607299805,0.036387798028275437
,,
Test AUC (Default),0.47111111111111115,0.189699658977721
Test Accuracy (Default),0.3877450980392157,0.14078231674262295
Test Precision (Default),0.24558823529411766,0.1271314811319749
Test Recall (Default),0.6866666666666668,0.3733333333333333
Test F1 (Default),0.36108324752826026,0.18880814384446334
Test Specificity (Default),0.2363636363636364,0.38825739098295675
,,
Test AUC (Optimal),0.47111111111111115,0.189699658977721
Test Accuracy (Optimal),0.4313725490196079,0.13930756771863903
Test Precision (Optimal),0.2596428571428572,0.16261416711633328
Test Recall (Optimal),0.3533333333333334,0.27616420236277306
Test F1 (Optimal),0.26292374292374293,0.14723139452449327
Test Specificity (Optimal),0.4712121212121212,0.2802170220216294
