Metric,Mean,Std
Validation AUC,0.6406565656565657,0.11041956511029655
Optimal Threshold,0.5098785996437073,0.04162779901977272
,,
Test AUC (Default),0.6451515151515151,0.11978861087251094
Test Accuracy (Default),0.47622549019607846,0.13380557230666915
Test Precision (Default),0.19653679653679654,0.16238325478095486
Test Recall (Default),0.52,0.4308131845707604
Test F1 (Default),0.28421052631578947,0.23384063043708483
Test Specificity (Default),0.4727272727272728,0.41221032904562305
,,
Test AUC (Optimal),0.6451515151515151,0.11978861087251094
Test Accuracy (Optimal),0.5907679738562092,0.10521163036022654
Test Precision (Optimal),0.39999999999999997,0.2260776661041756
Test Recall (Optimal),0.4533333333333333,0.2785677655436824
Test F1 (Optimal),0.3996031746031746,0.2113839387562876
Test Specificity (Optimal),0.656060606060606,0.15888153610810096
