Metric,Mean,Std
Validation AUC,0.6363131313131314,0.07456851358340846
Optimal Threshold,0.5665987432003021,0.10078090011581074
,,
Test AUC (Default),0.38919191919191914,0.05571290847366379
Test Accuracy (Default),0.3452614379084967,0.06703201106877446
Test Precision (Default),0.2959090909090909,0.07062515998665415
Test Recall (Default),0.7666666666666666,0.2905932629027116
Test F1 (Default),0.42240896358543417,0.11647273048664265
Test Specificity (Default),0.14090909090909093,0.11887906209656382
,,
Test AUC (Optimal),0.38919191919191914,0.05571290847366379
Test Accuracy (Optimal),0.42924836601307187,0.027494470296357217
Test Precision (Optimal),0.23666666666666666,0.12128936932440167
Test Recall (Optimal),0.47333333333333333,0.28472208672083493
Test F1 (Optimal),0.3123809523809523,0.1676190476190476
Test Specificity (Optimal),0.41515151515151516,0.182221774283308
