Metric,Mean,Std
Validation AUC,0.7394949494949495,0.11050172653948592
Optimal Threshold,0.42755395770072935,0.047516387316683124
,,
Test AUC (Default),0.3935353535353535,0.062216318754448725
Test Accuracy (Default),0.5790849673202614,0.18199005755816305
Test Precision (Default),0.4461538461538462,0.4599974273146478
Test Recall (Default),0.18,0.18330302779823363
Test F1 (Default),0.19649122807017544,0.16056226229680773
Test Specificity (Default),0.7787878787878788,0.3237747973137717
,,
Test AUC (Optimal),0.3935353535353535,0.062216318754448725
Test Accuracy (Optimal),0.4062908496732026,0.09204569037250959
Test Precision (Optimal),0.25043956043956045,0.03292378115122936
Test Recall (Optimal),0.39333333333333326,0.14047538337136983
Test F1 (Optimal),0.2968230531078829,0.051224903870683736
Test Specificity (Optimal),0.41515151515151505,0.19954033494732518
