Metric,Mean,Std
Validation AUC,0.7042424242424243,0.16683297487597817
Optimal Threshold,0.5388355195522309,0.05933177297477245
,,
Test AUC (Default),0.5674747474747475,0.059321057461763124
Test Accuracy (Default),0.4638888888888889,0.052766394288258384
Test Precision (Default),0.34320512820512816,0.03863124950771441
Test Recall (Default),0.68,0.19390719429665315
Test F1 (Default),0.4496031746031746,0.06529677197484647
Test Specificity (Default),0.3560606060606061,0.14829920367566246
,,
Test AUC (Optimal),0.5674747474747475,0.059321057461763124
Test Accuracy (Optimal),0.5477941176470588,0.07823197693100228
Test Precision (Optimal),0.39404761904761904,0.06348710298082563
Test Recall (Optimal),0.6133333333333334,0.11274356350191843
Test F1 (Optimal),0.47411764705882353,0.059530920649539944
Test Specificity (Optimal),0.5181818181818182,0.133608531424537
