Metric,Mean,Std
Validation AUC,0.6162626262626263,0.06237846054173821
Optimal Threshold,0.4438806414604187,0.0700403360547831
,,
Test AUC (Default),0.45712121212121215,0.14124560664238708
Test Accuracy (Default),0.5098039215686274,0.1794144433529813
Test Precision (Default),0.2966300366300366,0.21418900168767163
Test Recall (Default),0.3666666666666667,0.20439612955674524
Test F1 (Default),0.3032051282051282,0.1653746767039547
Test Specificity (Default),0.5818181818181818,0.3382013679588777
,,
Test AUC (Optimal),0.45712121212121215,0.14124560664238708
Test Accuracy (Optimal),0.3808006535947712,0.07672016699172991
Test Precision (Optimal),0.2902380952380952,0.0814564140647638
Test Recall (Optimal),0.6666666666666666,0.2633122354417533
Test F1 (Optimal),0.401621254562431,0.12877045181356483
Test Specificity (Optimal),0.2303030303030303,0.16442012080303678
