Metric,Mean,Std
Validation AUC,0.6149494949494949,0.14086676168094037
Optimal Threshold,0.463303941488266,0.12983170221246942
,,
Test AUC (Default),0.5225252525252525,0.09007450803787652
Test Accuracy (Default),0.5888888888888889,0.16711992225302738
Test Precision (Default),0.2544444444444444,0.27501739563386635
Test Recall (Default),0.2866666666666666,0.24908722256359206
Test F1 (Default),0.2616666666666666,0.25053276565484733
Test Specificity (Default),0.7378787878787879,0.2863435939755517
,,
Test AUC (Optimal),0.5225252525252525,0.09007450803787652
Test Accuracy (Optimal),0.6089869281045752,0.15396835217305946
Test Precision (Optimal),0.3944444444444445,0.26606413410452395
Test Recall (Optimal),0.44666666666666666,0.26964997888208914
Test F1 (Optimal),0.40242424242424235,0.23991427915128252
Test Specificity (Optimal),0.6924242424242425,0.2356827800648577
