Metric,Mean,Std
Validation AUC,0.5967171717171718,0.11554005864865857
Optimal Threshold,0.4779538094997406,0.09686234156815635
,,
Test AUC (Default),0.39181818181818184,0.09305349626985586
Test Accuracy (Default),0.4187908496732026,0.20651122313125295
Test Precision (Default),0.14615384615384613,0.12165584618108173
Test Recall (Default),0.35333333333333333,0.29333333333333333
Test F1 (Default),0.20631578947368423,0.1712395739592653
Test Specificity (Default),0.45151515151515154,0.45093515727850364
,,
Test AUC (Optimal),0.39181818181818184,0.09305349626985586
Test Accuracy (Optimal),0.47508169934640526,0.12104082839830581
Test Precision (Optimal),0.30333333333333334,0.07023769168568492
Test Recall (Optimal),0.42666666666666664,0.22050447211388308
Test F1 (Optimal),0.3352380952380952,0.09701205011997595
Test Specificity (Optimal),0.49696969696969695,0.2645924842780979
