Metric,Mean,Std
Validation AUC,0.6036868686868687,0.10237257876587451
Optimal Threshold,0.4923365354537964,0.024554576881750532
,,
Test AUC (Default),0.5226767676767677,0.16967896128592705
Test Accuracy (Default),0.5089052287581699,0.09456479655546096
Test Precision (Default),0.2545454545454545,0.13973936121416763
Test Recall (Default),0.4333333333333333,0.2780887148615228
Test F1 (Default),0.3143162393162393,0.17948768823696723
Test Specificity (Default),0.5560606060606059,0.2504174659530796
,,
Test AUC (Optimal),0.5226767676767677,0.16967896128592705
Test Accuracy (Optimal),0.5540032679738562,0.12941712869321778
Test Precision (Optimal),0.29968253968253966,0.20976273054146832
Test Recall (Optimal),0.39333333333333337,0.29393876913398137
Test F1 (Optimal),0.32666666666666666,0.22744962812309308
Test Specificity (Optimal),0.6424242424242425,0.20765868726074926
