Metric,Mean,Std
Validation AUC,0.7222727272727273,0.07369868917451815
Optimal Threshold,0.535341888666153,0.1065323489210382
,,
Test AUC (Default),0.5238888888888888,0.20002879600880305
Test Accuracy (Default),0.4839869281045751,0.11977090745301033
Test Precision (Default),0.26153846153846155,0.1311457625901992
Test Recall (Default),0.5266666666666666,0.3808761828556187
Test F1 (Default),0.3222222222222222,0.1872477727372524
Test Specificity (Default),0.4757575757575757,0.368353246036915
,,
Test AUC (Optimal),0.5238888888888888,0.20002879600880305
Test Accuracy (Optimal),0.5705882352941176,0.12976222599091633
Test Precision (Optimal),0.332014652014652,0.21428159414967693
Test Recall (Optimal),0.44000000000000006,0.278408173570948
Test F1 (Optimal),0.36376068376068377,0.216813601789552
Test Specificity (Optimal),0.6439393939393939,0.2548879369887988
