Metric,Mean,Std
Validation AUC,0.7228787878787879,0.11458833572852056
Optimal Threshold,0.5140364229679107,0.07472515236258137
,,
Test AUC (Default),0.47414141414141414,0.11897189073312157
Test Accuracy (Default),0.4022875816993464,0.1143193705000515
Test Precision (Default),0.21936507936507937,0.14378674615508366
Test Recall (Default),0.5133333333333333,0.3768878406694019
Test F1 (Default),0.3051629072681704,0.2078324848142959
Test Specificity (Default),0.34848484848484845,0.2589092044035616
,,
Test AUC (Optimal),0.47414141414141414,0.11897189073312157
Test Accuracy (Optimal),0.4875816993464053,0.04683133102659572
Test Precision (Optimal),0.26095238095238094,0.13703699617984724
Test Recall (Optimal),0.42666666666666664,0.3227658249842721
Test F1 (Optimal),0.3142857142857142,0.18220120447341895
Test Specificity (Optimal),0.5151515151515151,0.17354934622153154
