Metric,Mean,Std
Validation AUC,0.7452525252525252,0.10219586836395188
Optimal Threshold,0.506509417295456,0.06720563353927755
,,
Test AUC (Default),0.4756060606060606,0.15380123841061588
Test Accuracy (Default),0.49861111111111106,0.11783798958520414
Test Precision (Default),0.21269841269841266,0.1811472078436458
Test Recall (Default),0.4533333333333333,0.37333333333333335
Test F1 (Default),0.28738512949039263,0.24016483162234092
Test Specificity (Default),0.5303030303030303,0.3146266024828463
,,
Test AUC (Optimal),0.4756060606060606,0.15380123841061588
Test Accuracy (Optimal),0.5381535947712418,0.08086320496922458
Test Precision (Optimal),0.29,0.1736375535418534
Test Recall (Optimal),0.44000000000000006,0.3382306905057552
Test F1 (Optimal),0.3447619047619047,0.2269306186236979
Test Specificity (Optimal),0.5878787878787878,0.05283513870958393
