Metric,Mean,Std
Validation AUC,0.5857070707070706,0.14841127153907452
Optimal Threshold,0.4596988260746002,0.15497519870733165
,,
Test AUC (Default),0.4634848484848485,0.176235244320424
Test Accuracy (Default),0.4745098039215686,0.18208557513024293
Test Precision (Default),0.11583333333333332,0.1426047373375482
Test Recall (Default),0.3333333333333333,0.42163702135578396
Test F1 (Default),0.17142857142857143,0.2121053090601913
Test Specificity (Default),0.5454545454545455,0.4563600144731321
,,
Test AUC (Optimal),0.4634848484848485,0.176235244320424
Test Accuracy (Optimal),0.4425653594771243,0.08216030093522772
Test Precision (Optimal),0.300982905982906,0.07966018301865288
Test Recall (Optimal),0.6,0.29514591494904874
Test F1 (Optimal),0.3933014354066985,0.13923465072121213
Test Specificity (Optimal),0.36060606060606065,0.17575757575757575
