Metric,Mean,Std
Validation AUC,0.7218686868686868,0.18051183337264148
Optimal Threshold,0.5275983273983001,0.08611043992774829
,,
Test AUC (Default),0.4878787878787879,0.10349272342369242
Test Accuracy (Default),0.54640522875817,0.13047838361473127
Test Precision (Default),0.4041666666666666,0.08079466429027217
Test Recall (Default),0.5599999999999999,0.303607934312952
Test F1 (Default),0.4206959706959707,0.12475149391195645
Test Specificity (Default),0.5515151515151515,0.300840573236142
,,
Test AUC (Optimal),0.4878787878787879,0.10349272342369242
Test Accuracy (Optimal),0.5299019607843137,0.14363999811352893
Test Precision (Optimal),0.3642857142857142,0.12825357535693394
Test Recall (Optimal),0.4333333333333333,0.10327955589886445
Test F1 (Optimal),0.3897435897435897,0.11041729466532733
Test Specificity (Optimal),0.5772727272727274,0.19476622986935047
