Metric,Mean,Std
Validation AUC,0.5290404040404041,0.16649470773972422
Optimal Threshold,inf,
,,
Test AUC (Default),0.41358585858585856,0.14805134961300567
Test Accuracy (Default),0.40784313725490196,0.14062605461179156
Test Precision (Default),0.270343137254902,0.1359965072374163
Test Recall (Default),0.8,0.4
Test F1 (Default),0.4039337474120083,0.20266644940722583
Test Specificity (Default),0.2,0.4
,,
Test AUC (Optimal),0.41358585858585856,0.14805134961300567
Test Accuracy (Optimal),0.4977941176470588,0.16477152053446237
Test Precision (Optimal),0.15238095238095237,0.18904222134551626
Test Recall (Optimal),0.22000000000000003,0.2712931993250107
Test F1 (Optimal),0.18,0.22271057451320087
Test Specificity (Optimal),0.6454545454545454,0.25127772656518643
