Metric,Mean,Std
Validation AUC,0.5364646464646464,0.13961350004551745
Optimal Threshold,0.5225956857204437,0.02158783593002686
,,
Test AUC (Default),0.5352525252525252,0.2221952233369286
Test Accuracy (Default),0.4860294117647059,0.09255364104446802
Test Precision (Default),0.27965034965034963,0.14942476952881933
Test Recall (Default),0.5866666666666667,0.32496153618543844
Test F1 (Default),0.3758169934640523,0.1992338694461959
Test Specificity (Default),0.4469696969696969,0.2510766531694225
,,
Test AUC (Optimal),0.5352525252525252,0.2221952233369286
Test Accuracy (Optimal),0.5859477124183006,0.17424875213858734
Test Precision (Optimal),0.425974025974026,0.33004903625819565
Test Recall (Optimal),0.44000000000000006,0.30796825233202924
Test F1 (Optimal),0.375,0.25
Test Specificity (Optimal),0.6681818181818182,0.33389759404012653
