Metric,Mean,Std
Validation AUC,0.49989898989898984,0.09444331009959955
Optimal Threshold,0.5174019277095795,0.04442016844879608
,,
Test AUC (Default),0.45671717171717174,0.0934274635741711
Test Accuracy (Default),0.44942810457516347,0.13300804145540338
Test Precision (Default),0.12392156862745099,0.15420493461891147
Test Recall (Default),0.36,0.44542114902640173
Test F1 (Default),0.18434782608695652,0.22903760185258196
Test Specificity (Default),0.4924242424242425,0.4065013438059828
,,
Test AUC (Optimal),0.45671717171717174,0.0934274635741711
Test Accuracy (Optimal),0.5852941176470589,0.045706677258588395
Test Precision (Optimal),0.315018315018315,0.16137183768214933
Test Recall (Optimal),0.42666666666666675,0.2946938147373379
Test F1 (Optimal),0.34757085020242917,0.19924787686517526
Test Specificity (Optimal),0.6666666666666667,0.19731903752848132
