metric,value
val_auc,0.3939393939393939
optimal_threshold,0.45517629384994507
test_threshold_default,0.5
test_auc_default,0.3472222222222222
test_accuracy_default,0.6111111111111112
test_precision_default,0.0
test_recall_default,0.0
test_f1_default,0.0
test_specificity_default,0.9166666666666666
test_threshold_optimal,0.45517629384994507
test_auc_optimal,0.3472222222222222
test_accuracy_optimal,0.5
test_precision_optimal,0.38461538461538464
test_recall_optimal,0.8333333333333334
test_f1_optimal,0.5263157894736842
test_specificity_optimal,0.3333333333333333
