Metric,Mean,Std
Validation AUC,0.4206060606060606,0.05970235324133214
Optimal Threshold,0.5105617225170136,0.07074938469838145
,,
Test AUC (Default),0.45292929292929285,0.13471066993913083
Test Accuracy (Default),0.4828431372549019,0.17584311101782177
Test Precision (Default),0.45595238095238094,0.27405785839958485
Test Recall (Default),0.5466666666666666,0.3081125335544358
Test F1 (Default),0.38575757575757574,0.09704353249581026
Test Specificity (Default),0.4333333333333334,0.3936595742801207
,,
Test AUC (Optimal),0.45292929292929285,0.13471066993913083
Test Accuracy (Optimal),0.43129084967320264,0.14558227506266885
Test Precision (Optimal),0.30896464646464644,0.08537034381147555
Test Recall (Optimal),0.54,0.278408173570948
Test F1 (Optimal),0.36955182072829135,0.1189872841010601
Test Specificity (Optimal),0.37727272727272726,0.28005312364998847
