Metric,Mean,Std
Validation AUC,0.4863131313131313,0.17394487843158335
Optimal Threshold,inf,
,,
Test AUC (Default),0.4520202020202021,0.1939798989688333
Test Accuracy (Default),0.4603758169934641,0.18660066332317976
Test Precision (Default),0.3713636363636364,0.3198837598796018
Test Recall (Default),0.3333333333333333,0.16193277068654827
Test F1 (Default),0.2985714285714286,0.1320482286661868
Test Specificity (Default),0.5318181818181819,0.2986194128301244
,,
Test AUC (Optimal),0.4520202020202021,0.1939798989688333
Test Accuracy (Optimal),0.5727941176470588,0.13154163102243152
Test Precision (Optimal),0.30547619047619046,0.21914542329989
Test Recall (Optimal),0.44000000000000006,0.3542754734823046
Test F1 (Optimal),0.34396270396270395,0.23878356443767787
Test Specificity (Optimal),0.6257575757575757,0.30497858540788086
