metric,value
val_auc,0.6000000000000001
optimal_threshold,0.4668636620044708
test_threshold_default,0.5
test_auc_default,0.7727272727272727
test_accuracy_default,0.7647058823529411
test_precision_default,1.0
test_recall_default,0.3333333333333333
test_f1_default,0.5
test_specificity_default,1.0
test_threshold_optimal,0.4668636620044708
test_auc_optimal,0.7727272727272727
test_accuracy_optimal,0.7647058823529411
test_precision_optimal,0.6666666666666666
test_recall_optimal,0.6666666666666666
test_f1_optimal,0.6666666666666666
test_specificity_optimal,0.8181818181818182
