Metric,Mean,Std
Validation AUC,0.5366161616161615,0.10996122161078843
Optimal Threshold,0.49611601829528806,0.016775860969583674
,,
Test AUC (Default),0.5343939393939394,0.1456561103398647
Test Accuracy (Default),0.5678921568627451,0.08723424518648878
Test Precision (Default),0.2095238095238095,0.17715309750226926
Test Recall (Default),0.34,0.30724582991474436
Test F1 (Default),0.2530920060331825,0.2122754494510048
Test Specificity (Default),0.6909090909090909,0.27931439083158577
,,
Test AUC (Optimal),0.5343939393939394,0.1456561103398647
Test Accuracy (Optimal),0.5949346405228758,0.08982047099938575
Test Precision (Optimal),0.3166666666666667,0.2
Test Recall (Optimal),0.36,0.3079682523320293
Test F1 (Optimal),0.3065656565656566,0.21531743021765598
Test Specificity (Optimal),0.7196969696969696,0.21757069294350173
