Metric,Mean,Std
Validation AUC,0.571060606060606,0.1109939235094187
Optimal Threshold,0.4827389419078827,0.01908908154291725
,,
Test AUC (Default),0.48797979797979796,0.11585396237461268
Test Accuracy (Default),0.5370098039215686,0.16890509518754981
Test Precision (Default),0.11111111111111112,0.17213259316477408
Test Recall (Default),0.19333333333333333,0.31012542265634685
Test F1 (Default),0.14095238095238094,0.22134611880127922
Test Specificity (Default),0.7090909090909091,0.278128337105061
,,
Test AUC (Optimal),0.48797979797979796,0.11585396237461268
Test Accuracy (Optimal),0.40645424836601307,0.11793718764590808
Test Precision (Optimal),0.3158241758241759,0.042930902996249944
Test Recall (Optimal),0.6066666666666666,0.14047538337136986
Test F1 (Optimal),0.4034210526315789,0.017046457621791196
Test Specificity (Optimal),0.30454545454545456,0.23513667557050114
