metric,value
val_auc,0.5454545454545455
optimal_threshold,0.4448627531528473
test_threshold_default,0.5
test_auc_default,0.5277777777777778
test_accuracy_default,0.6666666666666666
test_precision_default,0.0
test_recall_default,0.0
test_f1_default,0.0
test_specificity_default,1.0
test_threshold_optimal,0.4448627531528473
test_auc_optimal,0.5277777777777778
test_accuracy_optimal,0.3888888888888889
test_precision_optimal,0.3076923076923077
test_recall_optimal,0.6666666666666666
test_f1_optimal,0.42105263157894735
test_specificity_optimal,0.25
