Metric,Mean,Std
Validation AUC,0.4718181818181818,0.09766606022809307
Optimal Threshold,0.48004157543182374,0.010376782157671911
,,
Test AUC (Default),0.48984848484848487,0.11823580740382089
Test Accuracy (Default),0.6671568627450981,0.018087504634799096
Test Precision (Default),0.0,0.0
Test Recall (Default),0.0,0.0
Test F1 (Default),0.0,0.0
Test Specificity (Default),1.0,0.0
,,
Test AUC (Optimal),0.48984848484848487,0.11823580740382089
Test Accuracy (Optimal),0.5705882352941176,0.11861732252985757
Test Precision (Optimal),0.43939393939393934,0.12927714550122146
Test Recall (Optimal),0.47333333333333344,0.3172100600898752
Test F1 (Optimal),0.3830065359477124,0.11001283425258261
Test Specificity (Optimal),0.6287878787878788,0.32475179474638916
