metric,value
val_auc,0.5303030303030303
optimal_threshold,0.47376295924186707
test_threshold_default,0.5
test_auc_default,0.4583333333333333
test_accuracy_default,0.6666666666666666
test_precision_default,0.0
test_recall_default,0.0
test_f1_default,0.0
test_specificity_default,1.0
test_threshold_optimal,0.47376295924186707
test_auc_optimal,0.4583333333333333
test_accuracy_optimal,0.5
test_precision_optimal,0.36363636363636365
test_recall_optimal,0.6666666666666666
test_f1_optimal,0.47058823529411764
test_specificity_optimal,0.4166666666666667
