Patient,Data,SliceThickness,PixelSpacing,NumSlices,ApproxVol,Avg_NumTissuePixel,Avg_Tissue,Avg_Tissue_thickness,Avg_TissueByTotal,Avg_TissueByLung,Mean,Skew,Kurtosis
ID00007637202177411956430,train,1.25,0.652344,30,859677.6781,5980.6333,3901.4303,4876.7878,0.0228,0.2448,509.268,1.0889,1.4123
ID00009637202177434476278,train,1.25,0.486979,394,17706863.2368,5881.9924,2864.4068,3580.5085,0.01,0.1542,436.4619,1.8954,5.4026
ID00010637202177584971671,train,2.0,0.654296875,106,3957865.3516,3934.2075,2574.1397,5148.2794,0.015,0.307,662.2415,0.4779,1.7189
ID00011637202177653955184,train,1.0,0.580078125,31,985334.0449,4089.871,2372.4447,2372.4447,0.0156,0.0992,444.1578,1.2528,1.554
ID00012637202177665765362,train,7.0,0.625,49,8820888.125,3017.5306,1885.9566,13201.6964,0.0115,0.157,-576.0053,1.0818,1.4833
ID00014637202177757139317,train,1.25,0.798828,31,919932.3219,4714.9677,3766.4483,4708.0603,0.018,0.2657,-506.6905,1.1183,1.958
ID00015637202177877247924,train,0.8,0.522135417,295,9427425.2112,6357.7864,3319.6255,2655.7004,0.0108,0.1463,461.9713,1.1428,1.1038
ID00019637202178323708467,train,1.0,0.631,29,639646.593,2433.0345,1535.2448,1535.2448,0.0093,0.0963,-590.5268,1.5061,2.8042
ID00020637202178344345685,train,0.5,0.625,493,5475642.1875,2289.3692,1430.8557,715.4279,0.0087,0.1136,-511.5711,1.1299,0.7719
ID00023637202179104603099,train,1.0,0.56640625,27,592153.3789,1800.7778,1019.9718,1019.9718,0.0069,0.0938,527.4268,0.9949,1.2478
ID00025637202179541264076,train,1.25,0.445313,24,1273280.6777,12484.8333,5559.6586,6949.5732,0.0212,0.1667,-593.9656,1.5046,3.0301
ID00026637202179561894768,train,1.0,0.486979,239,9298232.3932,5133.3515,2499.8344,2499.8344,0.0087,0.1098,-1594.8185,1.1554,1.3982
ID00027637202179689871102,train,2.0,0.591145833,358,19252462.3173,5039.6508,2979.1686,5958.3372,0.0085,0.2107,480.1566,1.1224,2.6482
ID00030637202181211009029,train,0.625,0.884766,433,4151552.1112,4057.6605,3590.0801,2243.8,0.0155,0.3147,517.6303,0.7946,-0.3261
ID00032637202181710233084,train,1.25,0.845703,205,6192520.6765,3761.4,3181.0273,3976.2841,0.0143,0.2127,540.5216,1.028,1.3104
ID00035637202182204917484,train,0.5,0.683,574,6643739.753,4526.5383,3091.6257,1545.8128,0.0173,0.1832,-478.765,1.019,0.7853
ID00038637202182690843176,train,1.0,0.471354167,346,14524541.565,3426.5867,1615.1359,1615.1359,0.0058,0.0474,365.2578,1.6094,2.4122
ID00042637202184406822975,train,1.25,0.46875,497,20931974.4141,9379.994,4396.8722,5496.0902,0.0159,0.1824,-593.0057,1.1929,1.5252
ID00047637202184938901501,train,2.0,0.693359375,103,5668287.7734,2839.3204,1968.6694,3937.3388,0.0108,0.1456,494.9004,0.9695,0.7794
ID00048637202185016727717,train,1.25,0.75,26,296728.125,3445.2308,2583.9231,3229.9038,0.0131,0.4599,688.9415,0.6631,1.9069
ID00051637202185848464638,train,2.0,0.65234375,122,6083949.6016,2605.6311,1699.7672,3399.5344,0.0099,0.0897,417.2834,0.9336,-0.438
ID00052637202186188008618,train,2.0,0.859375,310,11081932.8125,3119.3387,2680.6817,5361.3634,0.0119,0.2571,542.4158,0.917,1.1891
ID00060637202187965290703,train,1.0,0.71484375,275,6441095.3203,3637.9927,2600.5964,2600.5964,0.0139,0.1748,510.6047,1.0235,1.2884
ID00061637202188184085559,train,2.5,0.759,253,18702412.74,2382.4229,1808.259,4520.6475,0.0091,0.0942,-631.0914,1.3497,1.7054
ID00062637202188654068490,train,1.0,0.7519531,30,520953.1077,3481.4,2617.8495,2617.8495,0.0133,0.195,495.3412,0.9317,0.6928
ID00067637202189903532242,train,1.25,0.871094,319,7862808.0378,3148.442,2742.5889,3428.2362,0.012,0.2398,-545.7006,1.3359,2.1201
ID00068637202190879923934,train,3.0,0.78125,118,5935830.4688,1055.0339,824.2452,2472.7357,0.004,0.0677,434.6513,1.0445,0.5079
ID00072637202198161894406,train,1.0,0.709,24,583369.454,2771.9583,1965.3185,1965.3185,0.0106,0.1118,-593.5096,0.9665,0.6093
ID00073637202198167792918,train,2.0,0.755859375,355,12953515.8516,2813.2563,2126.4262,4252.8524,0.0107,0.2954,583.6168,0.7548,1.5658
