Experiment,Description,Mean_AUC,Std_AUC,Mean_F1,Std_F1,Mean_Recall,Std_Recall,Mean_Precision,Std_Precision,Mean_Specificity,Std_Specificity
cnn_max,CNN max pooling only,0.4761,0.0822,0.4075,0.0995,0.5000,0.1932,0.3754,0.1015,0.5485,0.1951
cnn_mean,CNN mean pooling only,0.6357,0.0984,0.4029,0.2104,0.5600,0.3036,0.3292,0.1828,0.5258,0.3032
cnn_max_mean,CNN max+mean pooling (concatenated),0.5588,0.1571,0.4267,0.0646,0.5133,0.2509,0.4238,0.0945,0.6030,0.2758
cnn_max_pca,CNN max pooling + PCA,0.3495,0.1743,0.2858,0.2461,0.4000,0.3742,0.2670,0.2749,0.5848,0.3772
cnn_mean_pca,CNN mean pooling + PCA,0.5187,0.0917,0.2967,0.2257,0.2867,0.2257,0.3500,0.2603,0.7712,0.2126
cnn_max_mean_pca,CNN max+mean pooling + PCA,0.5163,0.1001,0.3670,0.1309,0.4800,0.2638,0.4450,0.2886,0.5333,0.2923
demo_only,Demographics only,0.4341,0.0671,0.2355,0.2016,0.3333,0.2981,0.1843,0.1547,0.6136,0.3221
hand_only,Hand-crafted features only,0.6213,0.1894,0.5029,0.2049,0.5267,0.2294,0.4843,0.1834,0.7303,0.1025
hand_demo,Hand-crafted + Demographics,0.6149,0.1788,0.4650,0.1790,0.5933,0.2585,0.3900,0.1446,0.5530,0.1295
best_cnn_hand,Best CNN + Hand-crafted,0.6252,0.0692,0.5396,0.0945,0.6133,0.1127,0.4918,0.1011,0.6591,0.1588
best_cnn_hand_demo,Best CNN + Hand-crafted + Demographics (FULL),0.6323,0.1021,0.4583,0.2455,0.5933,0.3221,0.3909,0.2228,0.5606,0.2308
