fold_idx,val_auc,test_auc,test_accuracy,test_precision,test_recall,test_specificity,test_f1,optimal_threshold,repeat_idx,original_fold_idx
rep0_fold0,0.803030303030303,0.7569444444444445,0.3888888888888889,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.47619047619047616,0.3235474082333662,0,0
rep0_fold1,0.5606060606060606,0.5909090909090909,0.5882352941176471,0.45454545454545453,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.28386593830043083,0,1
rep0_fold2,0.7181818181818183,0.6136363636363635,0.6470588235294118,0.5,0.5,0.7272727272727273,0.5,0.3371120377810401,0,2
rep0_fold3,0.6181818181818182,0.7272727272727273,0.8125,0.6666666666666666,0.8,0.8181818181818182,0.7272727272727273,0.4259565811887524,0,3
rep0_fold4,0.8055555555555556,0.4727272727272728,0.4375,0.0,0.0,0.6363636363636364,0.0,0.34947466139166095,0,4
rep1_fold0,0.803030303030303,0.7569444444444445,0.3888888888888889,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.47619047619047616,0.3235474082333662,1,0
rep1_fold1,0.5606060606060606,0.5909090909090909,0.5882352941176471,0.45454545454545453,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.28386593830043083,1,1
rep1_fold2,0.7181818181818183,0.6136363636363635,0.6470588235294118,0.5,0.5,0.7272727272727273,0.5,0.3371120377810401,1,2
rep1_fold3,0.6181818181818182,0.7272727272727273,0.8125,0.6666666666666666,0.8,0.8181818181818182,0.7272727272727273,0.4259565811887524,1,3
rep1_fold4,0.8055555555555556,0.4727272727272728,0.4375,0.0,0.0,0.6363636363636364,0.0,0.34947466139166095,1,4
rep2_fold0,0.803030303030303,0.7569444444444445,0.3888888888888889,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.47619047619047616,0.3235474082333662,2,0
rep2_fold1,0.5606060606060606,0.5909090909090909,0.5882352941176471,0.45454545454545453,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.28386593830043083,2,1
rep2_fold2,0.7181818181818183,0.6136363636363635,0.6470588235294118,0.5,0.5,0.7272727272727273,0.5,0.3371120377810401,2,2
rep2_fold3,0.6181818181818182,0.7272727272727273,0.8125,0.6666666666666666,0.8,0.8181818181818182,0.7272727272727273,0.4259565811887524,2,3
rep2_fold4,0.8055555555555556,0.4727272727272728,0.4375,0.0,0.0,0.6363636363636364,0.0,0.34947466139166095,2,4
rep3_fold0,0.803030303030303,0.7569444444444445,0.3888888888888889,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.47619047619047616,0.3235474082333662,3,0
rep3_fold1,0.5606060606060606,0.5909090909090909,0.5882352941176471,0.45454545454545453,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.28386593830043083,3,1
rep3_fold2,0.7181818181818183,0.6136363636363635,0.6470588235294118,0.5,0.5,0.7272727272727273,0.5,0.3371120377810401,3,2
rep3_fold3,0.6181818181818182,0.7272727272727273,0.8125,0.6666666666666666,0.8,0.8181818181818182,0.7272727272727273,0.4259565811887524,3,3
rep3_fold4,0.8055555555555556,0.4727272727272728,0.4375,0.0,0.0,0.6363636363636364,0.0,0.34947466139166095,3,4
rep4_fold0,0.803030303030303,0.7569444444444445,0.3888888888888889,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.47619047619047616,0.3235474082333662,4,0
rep4_fold1,0.5606060606060606,0.5909090909090909,0.5882352941176471,0.45454545454545453,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.28386593830043083,4,1
rep4_fold2,0.7181818181818183,0.6136363636363635,0.6470588235294118,0.5,0.5,0.7272727272727273,0.5,0.3371120377810401,4,2
rep4_fold3,0.6181818181818182,0.7272727272727273,0.8125,0.6666666666666666,0.8,0.8181818181818182,0.7272727272727273,0.4259565811887524,4,3
rep4_fold4,0.8055555555555556,0.4727272727272728,0.4375,0.0,0.0,0.6363636363636364,0.0,0.34947466139166095,4,4
