fold_idx,val_auc,test_auc,test_accuracy,test_precision,test_recall,test_specificity,test_f1,optimal_threshold,repeat_idx,original_fold_idx
rep0_fold0,0.8333333333333333,0.5277777777777778,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.3244703095783495,0,0
rep0_fold1,0.5454545454545454,0.48484848484848486,0.29411764705882354,0.25,0.5,0.18181818181818182,0.3333333333333333,0.2593746598186273,0,1
rep0_fold2,0.7181818181818183,0.6136363636363635,0.6470588235294118,0.5,0.5,0.7272727272727273,0.5,0.3371120377810401,0,2
rep0_fold3,0.6090909090909091,0.7,0.3125,0.2857142857142857,0.8,0.09090909090909091,0.42105263157894735,0.3443538392151413,0,3
rep0_fold4,0.7916666666666667,0.5454545454545454,0.625,0.4,0.4,0.7272727272727273,0.4,0.3602789315847091,0,4
rep1_fold0,0.8333333333333333,0.5277777777777778,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.3244703095783495,1,0
rep1_fold1,0.5454545454545454,0.48484848484848486,0.29411764705882354,0.25,0.5,0.18181818181818182,0.3333333333333333,0.2593746598186273,1,1
rep1_fold2,0.7181818181818183,0.6136363636363635,0.6470588235294118,0.5,0.5,0.7272727272727273,0.5,0.3371120377810401,1,2
rep1_fold3,0.6090909090909091,0.7,0.3125,0.2857142857142857,0.8,0.09090909090909091,0.42105263157894735,0.3443538392151413,1,3
rep1_fold4,0.7916666666666667,0.5454545454545454,0.625,0.4,0.4,0.7272727272727273,0.4,0.3602789315847091,1,4
rep2_fold0,0.8333333333333333,0.5277777777777778,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.3244703095783495,2,0
rep2_fold1,0.5454545454545454,0.48484848484848486,0.29411764705882354,0.25,0.5,0.18181818181818182,0.3333333333333333,0.2593746598186273,2,1
rep2_fold2,0.7181818181818183,0.6136363636363635,0.6470588235294118,0.5,0.5,0.7272727272727273,0.5,0.3371120377810401,2,2
rep2_fold3,0.6090909090909091,0.7,0.3125,0.2857142857142857,0.8,0.09090909090909091,0.42105263157894735,0.3443538392151413,2,3
rep2_fold4,0.7916666666666667,0.5454545454545454,0.625,0.4,0.4,0.7272727272727273,0.4,0.3602789315847091,2,4
rep3_fold0,0.8333333333333333,0.5277777777777778,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.3244703095783495,3,0
rep3_fold1,0.5454545454545454,0.48484848484848486,0.29411764705882354,0.25,0.5,0.18181818181818182,0.3333333333333333,0.2593746598186273,3,1
rep3_fold2,0.7181818181818183,0.6136363636363635,0.6470588235294118,0.5,0.5,0.7272727272727273,0.5,0.3371120377810401,3,2
rep3_fold3,0.6090909090909091,0.7,0.3125,0.2857142857142857,0.8,0.09090909090909091,0.42105263157894735,0.3443538392151413,3,3
rep3_fold4,0.7916666666666667,0.5454545454545454,0.625,0.4,0.4,0.7272727272727273,0.4,0.3602789315847091,3,4
rep4_fold0,0.8333333333333333,0.5277777777777778,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.3244703095783495,4,0
rep4_fold1,0.5454545454545454,0.48484848484848486,0.29411764705882354,0.25,0.5,0.18181818181818182,0.3333333333333333,0.2593746598186273,4,1
rep4_fold2,0.7181818181818183,0.6136363636363635,0.6470588235294118,0.5,0.5,0.7272727272727273,0.5,0.3371120377810401,4,2
rep4_fold3,0.6090909090909091,0.7,0.3125,0.2857142857142857,0.8,0.09090909090909091,0.42105263157894735,0.3443538392151413,4,3
rep4_fold4,0.7916666666666667,0.5454545454545454,0.625,0.4,0.4,0.7272727272727273,0.4,0.3602789315847091,4,4
