Metric,Mean,Std
Validation AUC,0.6525641025641026,0.107404837359621
Optimal Threshold,0.5059896111488342,0.02472895666904555
,,
Test AUC (Default),0.47309634809634815,0.08291434416329033
Test Accuracy (Default),0.4742647058823529,0.17881409611341642
Test Precision (Default),0.2927521008403361,0.15683712338268463
Test Recall (Default),0.65,0.3741657386773941
Test F1 (Default),0.3875457875457876,0.19644269661982222
Test Specificity (Default),0.34949494949494947,0.40163933026682275
,,
Test AUC (Optimal),0.47309634809634815,0.08291434416329033
Test Accuracy (Optimal),0.5022058823529412,0.10240406093266874
Test Precision (Optimal),0.3333333333333333,0.09660917830792959
Test Recall (Optimal),0.3766666666666666,0.15114378731672845
Test F1 (Optimal),0.31809523809523804,0.04491362332400609
Test Specificity (Optimal),0.5804584304584305,0.18811012292216306
