Metric,Mean,Std
Validation AUC,0.6358080808080808,0.08907069332471812
Optimal Threshold,0.5106195390224457,0.022305727005304317
,,
Test AUC (Default),0.48003885003885005,0.12885736563301436
Test Accuracy (Default),0.4389705882352941,0.15735294117647058
Test Precision (Default),0.3657967032967033,0.11270066567448929
Test Recall (Default),0.6783333333333333,0.2034152840318981
Test F1 (Default),0.4406315253374077,0.06593674029231728
Test Specificity (Default),0.34766899766899767,0.30466200466200466
,,
Test AUC (Optimal),0.48003885003885005,0.12885736563301436
Test Accuracy (Optimal),0.3919117647058824,0.07568887783798689
Test Precision (Optimal),0.2694871794871795,0.1186722512703149
Test Recall (Optimal),0.4583333333333333,0.20027758514399735
Test F1 (Optimal),0.31355742296918765,0.08956117337120979
Test Specificity (Optimal),0.3931235431235431,0.17853241048644727
