Metric,Mean,Std
Validation AUC,0.7276806526806527,0.11875092280995227
Optimal Threshold,0.5286379933357239,0.022363827430182344
,,
Test AUC (Default),0.4947125097125098,0.14881664885354295
Test Accuracy (Default),0.37941176470588234,0.11779402585000463
Test Precision (Default),0.3016440422322776,0.06070436264587932
Test Recall (Default),0.6116666666666666,0.2463962481676844
Test F1 (Default),0.3758912655971479,0.04165415370653321
Test Specificity (Default),0.29184149184149183,0.2518406115651005
,,
Test AUC (Optimal),0.4947125097125098,0.14881664885354295
Test Accuracy (Optimal),0.4875,0.08278510555904452
Test Precision (Optimal),0.36,0.08824825835131715
Test Recall (Optimal),0.605,0.29512709126747416
Test F1 (Optimal),0.39693779904306215,0.12784259225507147
Test Specificity (Optimal),0.4614607614607615,0.26018487958687264
