Metric,Mean,Std
Validation AUC,0.702929292929293,0.10598573595968293
Optimal Threshold,0.5192058920860291,0.03150169707161785
,,
Test AUC (Default),0.5503379953379953,0.12255836580562197
Test Accuracy (Default),0.4036764705882353,0.12269501108009502
Test Precision (Default),0.35843837535014006,0.08154096626552168
Test Recall (Default),0.9666666666666668,0.06666666666666667
Test F1 (Default),0.5170756302521009,0.09018515444399783
Test Specificity (Default),0.1196969696969697,0.1643363256115909
,,
Test AUC (Optimal),0.5503379953379953,0.12255836580562197
Test Accuracy (Optimal),0.5132352941176471,0.08006269169891883
Test Precision (Optimal),0.4251082251082251,0.32355245948198785
Test Recall (Optimal),0.47833333333333333,0.3677106350258463
Test F1 (Optimal),0.338562091503268,0.19885399379005622
Test Specificity (Optimal),0.5564102564102564,0.28131982442829745
